"","peak_id","peak_name","peak_alternative_name","height_metres","climbing_status","first_ascent_year","first_ascent_country","first_ascent_expedition_id"
"416","PERI","Peri",NA,6174,"Climbed",2016,"Italy, Nepal","PERI16301"
"417","DWIJ","Dwijen Himal",NA,6169,"Unclimbed",NA,NA,NA
"418","JABR","Jabou Ri",NA,6166,"Climbed",2015,"USA","JABR15301"
"419","BEDG","Beding Go","Bedding Go",6125,"Climbed",2015,"Nepal, Canada, Brazil, Ireland","BEDG15301"
"420","TAKN","Takphu North",NA,6142,"Climbed",2016,"Germany, Nepal","TAKN16301"
"421","BHUL","Bhulu Lhasa",NA,6102,"Climbed",1964,"UK, Nepal","BHUL64301"
"422","LNAK","Lhonak","Rifil Peak",6070,"Unclimbed",NA,NA,NA
"423","ROLM","Rolmi",NA,6056,"Climbed",2017,"Nepal","ROLM17301"
"424","ACHN","Aichyn","Aychin, Ashvin",6055,"Climbed",2015,"Japan","ACHN15301"
"425","ARDN","Ardang",NA,6034,"Unclimbed",NA,NA,NA
"426","LUNG","Lungchhung",NA,6043,"Unclimbed",NA,NA,NA
"427","KHNG","Khung",NA,6024,"Unclimbed",NA,NA,NA
"428","CHND","Chandi Himal",NA,6142,"Unclimbed",NA,NA,NA
"429","KALI","Kali Himal","Chota Ri, Baruntse North",6985,"Climbed",1983,"Netherlands","KALI83101"
"430","DHEC","Dhechyan Khang",NA,6019,"Climbed",2018,"Austria, Germany, Nepal","DHEC18101"
"431","EKRA","Ek Rate Danda",NA,6213,"Unclimbed",NA,NA,NA
"432","GHYN","Ghyun Himal I",NA,6110,"Unclimbed",NA,NA,NA
"433","GORH","Gorakh Himal",NA,6198,"Unclimbed",NA,NA,NA
"434","HONK","Hongku","Hongku Chuli Nup, Honku, Sura Peak",6764,"Climbed",2015,"France","HONK15301"
"435","KARK","Karko",NA,6015,"Unclimbed",NA,NA,NA
"436","KARS","Karsang Kang","Kharsang",6225,"Climbed",2008,"France","KARS08301"
"437","KHAY","Khayang",NA,6186,"Unclimbed",NA,NA,NA
"438","GYLZ","Gyalzen Peak","Gyaltsen Peak",6151,"Climbed",2019,"Nepal","GYLZ19101"
"439","LSAM","Lungsampa","Lung Sampa, Lumsumna",6500,"Climbed",2014,"Spain",NA
"440","MERS","Mera South",NA,6064,"Unclimbed",NA,NA,NA
"441","PASH","Pashuwo","Pashubo",6177,"Unclimbed",NA,NA,NA
"442","SATO","Sat Peak","Sato Peak",6164,"Unclimbed",NA,NA,NA
"443","TSKP","Tso Karpo",NA,6518,"Unclimbed",NA,NA,NA
"444","SPH2","Sharphu II","Tanga II",6328,"Climbed",201,"USA","SPH218301"
"445","SPH3","Sharphu III","Marson",6220,"Unclimbed",NA,NA,NA
"446","SPH4","Sharphu IV","Nupchu",6172,"Climbed",1962,"Japan","SPH462101"
"447","SPH5","Sharphu V","Tanga III",6158,"Unclimbed",NA,NA,NA
"448","SPH6","Sharphu VI",NA,6076,"Unclimbed",NA,NA,NA
"449","MNSS","Mansail South","Manshail South",6248,"Unclimbed",NA,NA,NA
"450","GDNG","Gave Ding",NA,6581,"Climbed",2015,"UK","GDNG15301"
"451","NGO3","Ngojumba Kang III","Hillary Peak",7681,"Unclimbed",NA,NA,NA
"452","KIMS","Kimshung","Kinshung, Tsangbu Ri",6781,"Unclimbed",NA,NA,NA
"453","PAWR","Pawar Central","Chaar Baatsa",6621,"Climbed",2015,"France","PAWR15101"
"454","NGOR","Nagoru",NA,6165,"Climbed",2016,"Austria, Nepal","NGOR16301"
"455","SALD","Saldim",NA,6374,"Unclimbed",NA,NA,NA
"456","LANY","Langtang Yubra","Yubra Himal",6048,"Unclimbed",2018,"Australia, Netherands, Nepal","LANY18301"
"457","LARK","Larkya Peak","Granite Peak, Naike Peak",6416,"Climbed",2017,"Georgia","LARK17301"
"458","NUPW","Nuptse West II","Nuptse Nup II",7732,"Climbed",NA,NA,NA
"459","TENE","Tengi Ragi Tau East",NA,6675,"Climbed",2005,"France","TENE05301"
"460","NILE","Nilgiri East",NA,6698,"Climbed",1970,"Spain",NA
"461","PEMR","Pemthang Ri",NA,6743,"Unclimbed",NA,NA,NA
"462","FUTI","Futi Himal",NA,6425,"Climbed",2014,"Portugal","FUTI14101"
"463","SANB","Sano Bhrikuti",NA,6328,"Climbed",2017,"Switzerland","BHRS17101"
"464","SANK","Sano Kailash",NA,6452,"Climbed",2019,"Austria, Nepal","SANK19101"
"465","TARS","Tarke Kang Shar","Tare Kang",7069,"Climbed",1981,"Italy, Nepal","TARS81301"
"466","KORL","Korlang Pari Tippa","Korlang Pari Tippa North",5738,"Unclimbed",NA,NA,NA
"467","JANE","Jannu East","Khumbhakarna East",7460,"Unclimbed",NA,NA,NA
"468","YUBR","Yubra",NA,6264,"Unclimbed",NA,NA,NA
